ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19
2,-64,-72,-75,-75,-73,-57,-70,-63,-41,-68,-76,-72,-71,-58,-55,-62,-70,-64,-72
2,-86,-88,-75,-72,-74,-59,-73,-62,-85,-65,-79,-70,-69,-68,-54,-62,-71,-66,-72
2,-86,-88,-75,-72,-74,-59,-73,-62,-85,-65,-79,-70,-69,-68,-54,-62,-71,-66,-72
2,-63,-73,-76,-70,-74,-59,-74,-64,-42,-68,-76,-70,-71,-67,-53,-60,-71,-66,-71
2,-63,-73,-76,-70,-74,-59,-74,-64,-42,-68,-76,-70,-71,-67,-53,-60,-71,-66,-71
2,-70,-72,-76,-71,-74,-59,-75,-65,-40,-68,-75,-70,-70,-67,-54,-58,-71,-68,-71
2,-70,-72,-76,-71,-74,-59,-75,-65,-40,-68,-75,-70,-70,-67,-54,-58,-71,-68,-71
2,-65,-74,-75,-69,-73,-59,-74,-63,-44,-72,-75,-74,-72,-89,-55,-61,-73,-76,-72
2,-65,-74,-75,-69,-73,-59,-74,-63,-44,-72,-75,-74,-72,-89,-55,-61,-73,-76,-72
2,-65,-74,-75,-69,-73,-59,-74,-63,-44,-72,-75,-74,-72,-89,-55,-61,-73,-76,-72
2,-65,-72,-76,-73,-73,-57,-75,-71,-41,-67,-74,-71,-69,-65,-54,-60,-71,-64,-72
2,-65,-72,-76,-73,-73,-57,-75,-71,-41,-67,-74,-71,-69,-65,-54,-60,-71,-64,-72
2,-62,-72,-76,-75,-73,-61,-76,-64,-44,-68,-76,-71,-71,-63,-53,-63,-71,-64,-71
2,-62,-72,-76,-75,-73,-61,-76,-64,-44,-68,-76,-71,-71,-63,-53,-63,-71,-64,-71
2,-66,-73,-76,-73,-75,-59,-73,-64,-41,-68,-77,-71,-73,-64,-52,-62,-71,-64,-71
2,-66,-73,-76,-73,-75,-59,-73,-64,-41,-68,-77,-71,-73,-64,-52,-62,-71,-64,-71
2,-65,-73,-76,-74,-73,-61,-73,-60,-41,-68,-76,-71,-72,-60,-53,-61,-71,-67,-69
2,-65,-73,-76,-74,-73,-61,-73,-60,-41,-68,-76,-71,-72,-60,-53,-61,-71,-67,-69
2,-62,-70,-76,-75,-73,-57,-75,-62,-43,-68,-76,-71,-73,-64,-54,-59,-74,-66,-72
2,-62,-70,-76,-75,-73,-57,-75,-62,-43,-68,-76,-71,-73,-64,-54,-59,-74,-66,-72
2,-66,-75,-74,-75,-75,-55,-77,-71,-43,-69,-86,-71,-71,-68,-56,-62,-71,-65,-72
2,-66,-75,-74,-75,-75,-55,-77,-71,-43,-69,-86,-71,-71,-68,-56,-62,-71,-65,-72
2,-66,-75,-74,-75,-75,-55,-77,-71,-43,-69,-86,-71,-71,-68,-56,-62,-71,-65,-72
2,-65,-74,-76,-73,-70,-58,-78,-72,-43,-66,-75,0,-71,-68,-52,-60,-72,-66,-72
2,-65,-74,-76,-73,-70,-58,-78,-72,-43,-66,-75,0,-71,-68,-52,-60,-72,-66,-72
2,-62,-75,-75,-73,-75,-58,-79,-72,-41,-67,-75,0,-71,-70,-55,-60,-72,-64,-72
2,-62,-75,-75,-73,-75,-58,-79,-72,-41,-67,-75,0,-71,-70,-55,-60,-72,-64,-72
2,-62,-75,-75,0,0,-56,-75,-73,-42,-66,-78,-75,-71,-66,-53,-60,-72,-64,-72
2,-62,-75,-75,0,0,-56,-75,-73,-42,-66,-78,-75,-71,-66,-53,-60,-72,-64,-72
2,-62,-70,-74,-74,-74,-60,-75,-70,-40,-65,-78,-73,-70,-66,-53,-58,-71,-74,-69
2,-62,-70,-74,-74,-74,-60,-75,-70,-40,-65,-78,-73,-70,-66,-53,-58,-71,-74,-69
2,-64,-91,-76,-73,-74,-59,-79,-65,-42,-73,-74,-74,-69,-62,-54,-63,-71,-67,-69
2,-64,-91,-76,-73,-74,-59,-79,-65,-42,-73,-74,-74,-69,-62,-54,-63,-71,-67,-69
2,-65,-91,-76,-73,-75,-58,-76,-64,-43,-70,-74,-78,-69,-65,-51,-59,-71,-70,-73
2,-65,-91,-76,-73,-75,-58,-76,-64,-43,-70,-74,-78,-69,-65,-51,-59,-71,-70,-73
2,-67,-91,-77,-69,-80,-64,-73,-68,-40,-66,-70,-70,-69,-66,-58,-67,-68,-66,-65
2,-67,-91,-77,-69,-80,-64,-73,-68,-40,-66,-70,-70,-69,-66,-58,-67,-68,-66,-65
2,-67,-91,-77,-69,-80,-64,-73,-68,-40,-66,-70,-70,-69,-66,-58,-67,-68,-66,-65
2,-76,-91,-78,-71,-81,-60,-72,-63,-39,-66,-88,-70,-87,-66,-58,-63,-68,-70,-65
2,-72,-91,-74,-73,-75,-65,-72,-63,-41,-66,-77,-70,-84,-66,-54,-58,-68,-75,-68
2,-72,-91,-74,-73,-75,-65,-72,-63,-41,-66,-77,-70,-84,-66,-54,-58,-68,-75,-68
2,-69,-75,-74,-72,-77,-67,-70,-57,-44,-72,-74,-75,-75,-67,-50,-63,-68,-73,-76
2,-69,-75,-74,-72,-77,-67,-70,-57,-44,-72,-74,-75,-75,-67,-50,-63,-68,-73,-76
2,-69,-77,-83,-71,-73,-65,-69,-58,-46,-72,-80,-74,-75,-64,-55,-76,-68,-76,-65
2,-69,-77,-83,-71,-73,-65,-69,-58,-46,-72,-80,-74,-75,-64,-55,-76,-68,-76,-65
2,-70,-77,-83,-69,-71,-65,-69,-58,-44,-72,-75,-74,-75,-66,-54,-76,-68,-75,-65
2,-70,-77,-83,-69,-71,-65,-69,-58,-44,-72,-75,-74,-75,-66,-54,-76,-68,-75,-65
2,-70,-77,-83,-73,-73,-65,-69,-65,-48,-69,0,-74,-75,0,-57,0,0,-75,-65
2,-70,-77,-83,-73,-73,-65,-69,-65,-48,-69,0,-74,-75,0,-57,0,0,-75,-65
2,-70,-77,-83,-73,-73,-65,-69,-65,-48,-69,0,-74,-75,0,-57,0,0,-75,-65
2,-89,-79,-83,-72,-74,-67,-70,-66,-47,-68,0,-74,-76,-64,-88,-62,0,-71,-69
2,-89,-79,-83,-72,-74,-67,-70,-66,-47,-68,0,-74,-76,-64,-88,-62,0,-71,-69
2,-73,-79,-83,-75,-77,-62,-72,-63,-52,-64,-72,-71,-76,-65,-52,-66,-80,-67,-71
2,-73,-79,-83,-75,-77,-62,-72,-63,-52,-64,-72,-71,-76,-65,-52,-66,-80,-67,-71
2,-65,-79,-83,-74,-75,-63,-72,-67,-46,-65,-70,-71,-80,-61,-51,-67,-80,-73,-67
2,-65,-79,-83,-74,-75,-63,-72,-67,-46,-65,-70,-71,-80,-61,-51,-67,-80,-73,-67
2,-71,-78,0,-75,-74,-61,-71,-68,-49,-65,-70,-74,-80,-63,-48,-66,-69,-71,-80
2,-71,-78,0,-75,-74,-61,-71,-68,-49,-65,-70,-74,-80,-63,-48,-66,-69,-71,-80
2,-70,-75,0,-71,-77,-59,-70,-58,-48,-68,-70,-81,-80,-66,-48,-63,-74,-71,-74
2,-70,-75,0,-71,-77,-59,-70,-58,-48,-68,-70,-81,-80,-66,-48,-63,-74,-71,-74
2,-70,-75,0,-72,-77,-61,-71,-64,-50,-90,-73,-69,-73,-70,-52,-58,-65,-71,-71
2,-70,-75,0,-72,-77,-61,-71,-64,-50,-90,-73,-69,-73,-70,-52,-58,-65,-71,-71
2,-68,-74,0,-71,-76,-62,-72,-63,-49,-62,-74,-71,-72,-64,-47,-67,-67,-71,-74
2,-68,-74,0,-71,-76,-62,-72,-63,-49,-62,-74,-71,-72,-64,-47,-67,-67,-71,-74
2,-66,-72,0,-72,-75,-65,-70,-61,-47,-66,-79,-73,-69,-66,-49,-59,-69,-66,-72
2,-66,-72,0,-72,-75,-65,-70,-61,-47,-66,-79,-73,-69,-66,-49,-59,-69,-66,-72
2,-65,-70,-76,-75,-75,-62,-71,-66,-47,-66,-77,-73,-69,-63,-50,-66,-66,-69,-72
2,-65,-70,-76,-75,-75,-62,-71,-66,-47,-66,-77,-73,-69,-63,-50,-66,-66,-69,-72
2,-65,-70,-76,-75,-75,-62,-71,-66,-47,-66,-77,-73,-69,-63,-50,-66,-66,-69,-72
2,-65,-75,-76,-77,-74,-63,-73,-66,-46,-67,-77,-75,-69,-60,-51,-62,-66,-71,-64
2,-65,-75,-76,-77,-74,-63,-73,-66,-46,-67,-77,-75,-69,-60,-51,-62,-66,-71,-64
2,-72,-71,-76,-76,-74,-63,-75,-71,-45,-68,-81,-73,-69,-65,-52,-64,-64,-68,-67
2,-72,-71,-76,-76,-74,-63,-75,-71,-45,-68,-81,-73,-69,-65,-52,-64,-64,-68,-67
2,-62,-75,-76,-68,-79,-58,-72,-69,-40,-69,-70,-76,-69,-71,-53,-61,-72,-66,-67
2,-62,-75,-76,-68,-79,-58,-72,-69,-40,-69,-70,-76,-69,-71,-53,-61,-72,-66,-67
2,-74,-76,-74,-76,-79,-60,-75,-68,-42,-66,-77,-74,-76,-69,-53,-62,-73,-66,-70
2,-74,-76,-74,-76,-79,-60,-75,-68,-42,-66,-77,-74,-76,-69,-53,-62,-73,-66,-70
2,-68,-76,-77,-75,-76,-63,-75,-67,-40,-74,-77,-76,-80,-69,-55,-59,-72,-71,-71
2,-68,-76,-77,-75,-76,-63,-75,-67,-40,-74,-77,-76,-80,-69,-55,-59,-72,-71,-71
2,-67,-76,-77,-74,-77,-63,-78,-72,-39,-74,-77,-76,-79,-68,-53,-60,-72,-69,-70
