,ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19
4142,34,-69.0,-74.0,-73.0,-73.0,-77.0,-59.0,-61.0,-63.0,-62.0,-71.0,-68.0,-71.0,-69.0,-57.0,-56.0,-56.0,-65.0,-63.0,-67.0
4143,34,-69.0,-75.0,-80.0,-71.0,-78.0,-58.0,-58.0,-61.0,-61.0,-71.0,-68.0,-71.0,-69.0,-57.0,-59.0,-54.0,-63.0,-63.0,-67.0
4143,33,-70.0,-68.0,-65.0,-66.0,-76.0,-69.0,-54.0,-76.0,-74.0,-67.0,-62.0,-70.0,-68.0,-54.0,-67.0,-76.0,-73.0,-76.0,-63.0
4144,33,-67.0,-63.0,-58.0,-59.0,,-66.0,-59.0,-73.0,,-67.0,-66.0,-74.0,-70.0,-61.0,-70.0,-75.0,-78.0,-74.0,-63.0
4144,34,-69.0,-75.0,-80.0,-71.0,-78.0,-58.0,-58.0,-61.0,-61.0,-71.0,-68.0,-71.0,-69.0,-57.0,-59.0,-54.0,-63.0,-63.0,-67.0
4145,34,-69.0,-75.0,-80.0,-74.0,-75.0,-58.0,-60.0,-65.0,-66.0,-72.0,-69.0,-71.0,-68.0,-58.0,-81.0,-56.0,-65.0,-63.0,-67.0
4145,33,-67.0,-63.0,-58.0,-59.0,,-66.0,-59.0,-73.0,,-67.0,-66.0,-74.0,-70.0,-61.0,-70.0,-75.0,-78.0,-74.0,-63.0
4146,33,-67.0,-63.0,-58.0,-59.0,,-66.0,-59.0,-73.0,,-67.0,-66.0,-74.0,-70.0,-61.0,-70.0,-75.0,-78.0,-74.0,-63.0
4146,34,-69.0,-75.0,-80.0,-74.0,-75.0,-58.0,-60.0,-65.0,-66.0,-72.0,-69.0,-71.0,-68.0,-58.0,-81.0,-56.0,-65.0,-63.0,-67.0
4147,34,-70.0,-75.0,-80.0,-73.0,-76.0,-58.0,-58.0,-68.0,-66.0,-72.0,-68.0,-72.0,-71.0,-55.0,-56.0,-57.0,-59.0,-63.0,-68.0
4147,33,-67.0,-63.0,-58.0,-59.0,,-66.0,-59.0,-73.0,,-67.0,-66.0,-74.0,-70.0,-61.0,-70.0,-75.0,-78.0,-74.0,-63.0
4148,34,-70.0,-75.0,-80.0,-73.0,-76.0,-58.0,-58.0,-68.0,-66.0,-72.0,-68.0,-72.0,-71.0,-55.0,-56.0,-57.0,-59.0,-63.0,-68.0
4148,33,-67.0,-63.0,-58.0,-59.0,,-66.0,-59.0,-73.0,,-67.0,-66.0,-74.0,-70.0,-61.0,-70.0,-75.0,-78.0,-74.0,-63.0
4149,33,-67.0,-63.0,-58.0,-59.0,,-66.0,-59.0,-73.0,,-67.0,-66.0,-74.0,-70.0,-61.0,-70.0,-75.0,-78.0,-74.0,-63.0
4149,34,-70.0,-75.0,-76.0,-73.0,-76.0,-60.0,-57.0,-64.0,-62.0,-72.0,-67.0,-72.0,-69.0,-55.0,-57.0,-54.0,-64.0,-64.0,-69.0
4150,33,-67.0,-63.0,-58.0,-59.0,,-66.0,-59.0,-73.0,,-67.0,-66.0,-74.0,-70.0,-61.0,-70.0,-75.0,-78.0,-74.0,-63.0
4150,34,-70.0,-75.0,-76.0,-73.0,-76.0,-60.0,-57.0,-64.0,-62.0,-72.0,-67.0,-72.0,-69.0,-55.0,-57.0,-54.0,-64.0,-64.0,-69.0
4151,33,-67.0,-63.0,-58.0,-59.0,,-66.0,-59.0,-73.0,,-67.0,-66.0,-74.0,-70.0,-61.0,-70.0,-75.0,-78.0,-74.0,-63.0
4151,34,-70.0,-73.0,-76.0,-73.0,-75.0,-59.0,-59.0,-65.0,-61.0,-74.0,-64.0,-71.0,-69.0,-54.0,-62.0,-54.0,-64.0,-64.0,-68.0
4152,33,-67.0,-63.0,-58.0,-59.0,,-66.0,-59.0,-73.0,,-67.0,-66.0,-74.0,-70.0,-61.0,-70.0,-75.0,-78.0,-74.0,-63.0
4152,34,-70.0,-73.0,-76.0,-73.0,-75.0,-59.0,-59.0,-65.0,-61.0,-74.0,-64.0,-71.0,-69.0,-54.0,-62.0,-54.0,-64.0,-64.0,-68.0
4153,34,-70.0,-73.0,-76.0,-73.0,-75.0,-59.0,-59.0,-65.0,-61.0,-74.0,-64.0,-71.0,-69.0,-54.0,-62.0,-54.0,-64.0,-64.0,-68.0
4153,33,-62.0,-65.0,-63.0,-61.0,-76.0,-62.0,-56.0,-78.0,-72.0,-69.0,-62.0,-61.0,-71.0,-55.0,-69.0,-66.0,-76.0,-75.0,-60.0
4154,33,-62.0,-65.0,-63.0,-61.0,-76.0,-62.0,-56.0,-78.0,-72.0,-69.0,-62.0,-61.0,-71.0,-55.0,-69.0,-66.0,-76.0,-75.0,-60.0
4154,34,-69.0,-74.0,-75.0,-73.0,-75.0,-59.0,-60.0,-60.0,-64.0,-71.0,-70.0,-69.0,-69.0,-54.0,-54.0,-58.0,-63.0,-66.0,-68.0
4155,33,-62.0,-65.0,-63.0,-61.0,-76.0,-62.0,-56.0,-78.0,-72.0,-69.0,-62.0,-61.0,-71.0,-55.0,-69.0,-66.0,-76.0,-75.0,-60.0
4155,34,-69.0,-74.0,-75.0,-73.0,-75.0,-59.0,-60.0,-60.0,-64.0,-71.0,-70.0,-69.0,-69.0,-54.0,-54.0,-58.0,-63.0,-66.0,-68.0
4156,33,-62.0,-65.0,-63.0,-61.0,-76.0,-62.0,-56.0,-78.0,-72.0,-69.0,-62.0,-61.0,-71.0,-55.0,-69.0,-66.0,-76.0,-75.0,-60.0
4156,34,-69.0,-75.0,-76.0,-73.0,-77.0,-62.0,-61.0,-59.0,-63.0,-70.0,-62.0,-69.0,-66.0,-56.0,-59.0,-54.0,-68.0,-63.0,-67.0
4157,34,-70.0,-73.0,-76.0,-73.0,-78.0,-64.0,-61.0,-62.0,-61.0,-73.0,-66.0,-70.0,-66.0,-58.0,-61.0,-55.0,-68.0,-67.0,-65.0
4157,33,-62.0,-65.0,-63.0,-61.0,-76.0,-62.0,-56.0,-78.0,-72.0,-69.0,-62.0,-61.0,-71.0,-55.0,-69.0,-66.0,-76.0,-75.0,-60.0
4158,34,-70.0,-73.0,-76.0,-73.0,-78.0,-64.0,-61.0,-62.0,-61.0,-73.0,-66.0,-70.0,-66.0,-58.0,-61.0,-55.0,-68.0,-67.0,-65.0
4158,33,-62.0,-65.0,-63.0,-61.0,-76.0,-62.0,-56.0,-78.0,-72.0,-69.0,-62.0,-61.0,-71.0,-55.0,-69.0,-66.0,-76.0,-75.0,-60.0
4159,33,-62.0,-65.0,-63.0,-61.0,-76.0,-62.0,-56.0,-78.0,-72.0,-69.0,-62.0,-61.0,-71.0,-55.0,-69.0,-66.0,-76.0,-75.0,-60.0
4159,34,-70.0,-78.0,-76.0,-74.0,-78.0,-65.0,-64.0,-63.0,-61.0,-71.0,-68.0,-69.0,-68.0,-57.0,-61.0,-55.0,-63.0,-66.0,-74.0
4160,34,-70.0,-78.0,-76.0,-74.0,-78.0,-65.0,-64.0,-63.0,-61.0,-71.0,-68.0,-69.0,-68.0,-57.0,-61.0,-55.0,-63.0,-66.0,-74.0
4160,33,-62.0,-65.0,-63.0,-61.0,-76.0,-62.0,-56.0,-78.0,-72.0,-69.0,-62.0,-61.0,-71.0,-55.0,-69.0,-66.0,-76.0,-75.0,-60.0
4161,34,-70.0,-78.0,-76.0,-74.0,-78.0,-65.0,-64.0,-63.0,-61.0,-71.0,-68.0,-69.0,-68.0,-57.0,-61.0,-55.0,-63.0,-66.0,-74.0
4161,33,-62.0,-65.0,-63.0,-61.0,-76.0,-62.0,-56.0,-78.0,-72.0,-69.0,-62.0,-61.0,-71.0,-55.0,-69.0,-66.0,-76.0,-75.0,-60.0
4162,34,-71.0,-74.0,-68.0,,,-63.0,-64.0,-70.0,-85.0,-69.0,-56.0,-75.0,-70.0,-59.0,-52.0,-55.0,-70.0,-61.0,-65.0
4162,33,-62.0,-69.0,-58.0,-65.0,-82.0,,-60.0,-77.0,-73.0,-67.0,-66.0,-69.0,-70.0,-49.0,-64.0,-72.0,-79.0,-78.0,-59.0
4163,34,-71.0,-76.0,-72.0,-71.0,-80.0,-60.0,-64.0,-72.0,-62.0,-74.0,-69.0,-64.0,-72.0,-55.0,-90.0,-55.0,-70.0,-65.0,-68.0
4163,33,-62.0,-69.0,-58.0,-65.0,-82.0,,-60.0,-77.0,-73.0,-67.0,-66.0,-69.0,-70.0,-49.0,-64.0,-72.0,-79.0,-78.0,-59.0
4164,34,-71.0,-76.0,-72.0,-71.0,-80.0,-60.0,-64.0,-72.0,-62.0,-74.0,-69.0,-64.0,-72.0,-55.0,-90.0,-55.0,-70.0,-65.0,-68.0
4164,33,-62.0,-69.0,-58.0,-65.0,-82.0,,-60.0,-77.0,-73.0,-67.0,-66.0,-69.0,-70.0,-49.0,-64.0,-72.0,-79.0,-78.0,-59.0
4165,34,-67.0,-74.0,-77.0,-73.0,-77.0,-59.0,-64.0,-69.0,-65.0,-71.0,-64.0,-64.0,-69.0,-52.0,-55.0,-55.0,-73.0,-64.0,-65.0
4165,33,-62.0,-69.0,-58.0,-65.0,-82.0,,-60.0,-77.0,-73.0,-67.0,-66.0,-69.0,-70.0,-49.0,-64.0,-72.0,-79.0,-78.0,-59.0
4166,34,-67.0,-74.0,-77.0,-73.0,-77.0,-59.0,-64.0,-69.0,-65.0,-71.0,-64.0,-64.0,-69.0,-52.0,-55.0,-55.0,-73.0,-64.0,-65.0
4166,33,-62.0,-69.0,-58.0,-65.0,-82.0,,-60.0,-77.0,-73.0,-67.0,-66.0,-69.0,-70.0,-49.0,-64.0,-72.0,-79.0,-78.0,-59.0
4167,34,-67.0,-74.0,-77.0,-73.0,-77.0,-59.0,-64.0,-69.0,-65.0,-71.0,-64.0,-64.0,-69.0,-52.0,-55.0,-55.0,-73.0,-64.0,-65.0
4167,33,-62.0,-69.0,-58.0,-65.0,-82.0,,-60.0,-77.0,-73.0,-67.0,-66.0,-69.0,-70.0,-49.0,-64.0,-72.0,-79.0,-78.0,-59.0
4168,34,-82.0,-83.0,-75.0,-70.0,-79.0,-55.0,-66.0,-75.0,-62.0,-74.0,-63.0,-64.0,-73.0,-59.0,-59.0,-59.0,-83.0,-66.0,-70.0
4168,33,-62.0,-69.0,-58.0,-65.0,-82.0,,-60.0,-77.0,-73.0,-67.0,-66.0,-69.0,-70.0,-49.0,-64.0,-72.0,-79.0,-78.0,-59.0
4169,34,-82.0,-83.0,-75.0,-70.0,-79.0,-55.0,-66.0,-75.0,-62.0,-74.0,-63.0,-64.0,-73.0,-59.0,-59.0,-59.0,-83.0,-66.0,-70.0
4169,33,-62.0,-69.0,-58.0,-65.0,-82.0,,-60.0,-77.0,-73.0,-67.0,-66.0,-69.0,-70.0,-49.0,-64.0,-72.0,-79.0,-78.0,-59.0
4170,34,-67.0,-79.0,-72.0,-70.0,-78.0,-55.0,-64.0,-75.0,-63.0,-74.0,-65.0,-76.0,-75.0,-56.0,-61.0,-61.0,-73.0,-63.0,-65.0
4170,33,-62.0,-69.0,-58.0,-65.0,-82.0,,-60.0,-77.0,-73.0,-67.0,-66.0,-69.0,-70.0,-49.0,-64.0,-72.0,-79.0,-78.0,-59.0
4171,33,-67.0,-68.0,-66.0,-62.0,-78.0,-67.0,-55.0,-80.0,-72.0,-68.0,-61.0,-73.0,-71.0,-49.0,-66.0,-79.0,-74.0,-76.0,-62.0
4171,34,-67.0,-79.0,-72.0,-70.0,-78.0,-55.0,-64.0,-75.0,-63.0,-74.0,-65.0,-76.0,-75.0,-56.0,-61.0,-61.0,-73.0,-63.0,-65.0
4172,33,-67.0,-68.0,-66.0,-62.0,-78.0,-67.0,-55.0,-80.0,-72.0,-68.0,-61.0,-73.0,-71.0,-49.0,-66.0,-79.0,-74.0,-76.0,-62.0
4172,34,-67.0,-79.0,-72.0,-70.0,-78.0,-55.0,-64.0,-75.0,-63.0,-74.0,-65.0,-76.0,-75.0,-56.0,-61.0,-61.0,-73.0,-63.0,-65.0
4173,33,-67.0,-68.0,-66.0,-62.0,-78.0,-67.0,-55.0,-80.0,-72.0,-68.0,-61.0,-73.0,-71.0,-49.0,-66.0,-79.0,-74.0,-76.0,-62.0
4173,34,-67.0,-82.0,-72.0,-70.0,-76.0,-57.0,-64.0,-75.0,-60.0,-74.0,-63.0,-76.0,-75.0,-57.0,-62.0,-61.0,-73.0,-63.0,-65.0
4174,33,-67.0,-68.0,-66.0,-62.0,-78.0,-67.0,-55.0,-80.0,-72.0,-68.0,-61.0,-73.0,-71.0,-49.0,-66.0,-79.0,-74.0,-76.0,-62.0
4174,34,-67.0,-82.0,-72.0,-70.0,-76.0,-57.0,-64.0,-75.0,-60.0,-74.0,-63.0,-76.0,-75.0,-57.0,-62.0,-61.0,-73.0,-63.0,-65.0
4175,34,-85.0,-80.0,-73.0,-71.0,-77.0,-57.0,-62.0,-75.0,-59.0,-74.0,-65.0,-76.0,-75.0,-57.0,-59.0,-58.0,-68.0,-65.0,-65.0
4175,33,-67.0,-68.0,-66.0,-62.0,-78.0,-67.0,-55.0,-80.0,-72.0,-68.0,-61.0,-73.0,-71.0,-49.0,-66.0,-79.0,-74.0,-76.0,-62.0
4176,34,-85.0,-80.0,-73.0,-71.0,-77.0,-57.0,-62.0,-75.0,-59.0,-74.0,-65.0,-76.0,-75.0,-57.0,-59.0,-58.0,-68.0,-65.0,-65.0
4176,33,-67.0,-68.0,-66.0,-62.0,-78.0,-67.0,-55.0,-80.0,-72.0,-68.0,-61.0,-73.0,-71.0,-49.0,-66.0,-79.0,-74.0,-76.0,-62.0
4177,34,-69.0,-80.0,-79.0,,,-56.0,-55.0,-68.0,-62.0,-77.0,-71.0,-76.0,-70.0,-60.0,-57.0,-59.0,-69.0,-64.0,-71.0
4177,33,-67.0,-68.0,-66.0,-62.0,-78.0,-67.0,-55.0,-80.0,-72.0,-68.0,-61.0,-73.0,-71.0,-49.0,-66.0,-79.0,-74.0,-76.0,-62.0
4178,34,-69.0,-80.0,-79.0,,,-56.0,-55.0,-68.0,-62.0,-77.0,-71.0,-76.0,-70.0,-60.0,-57.0,-59.0,-69.0,-64.0,-71.0
4178,33,-67.0,-68.0,-66.0,-62.0,-78.0,-67.0,-55.0,-80.0,-72.0,-68.0,-61.0,-73.0,-71.0,-49.0,-66.0,-79.0,-74.0,-76.0,-62.0
4179,34,-65.0,-80.0,-76.0,-71.0,-69.0,-57.0,-68.0,-68.0,-56.0,-77.0,-64.0,-68.0,-70.0,-58.0,-63.0,-62.0,-65.0,-67.0,-74.0
4179,33,-67.0,-68.0,-66.0,-62.0,-78.0,-67.0,-55.0,-80.0,-72.0,-68.0,-61.0,-73.0,-71.0,-49.0,-66.0,-79.0,-74.0,-76.0,-62.0
4180,34,-65.0,-80.0,-76.0,-71.0,-69.0,-57.0,-68.0,-68.0,-56.0,-77.0,-64.0,-68.0,-70.0,-58.0,-63.0,-62.0,-65.0,-67.0,-74.0
4180,33,-59.0,-71.0,-61.0,-66.0,-74.0,-72.0,-56.0,-80.0,-80.0,-64.0,-59.0,-65.0,-67.0,-48.0,-64.0,-71.0,-77.0,-70.0,-62.0
4181,34,-76.0,-80.0,-76.0,-73.0,-73.0,-57.0,-61.0,-74.0,-56.0,-72.0,-63.0,-73.0,-67.0,-62.0,-52.0,-62.0,-65.0,-67.0,-59.0
4181,34,-68.0,-70.0,-60.0,-62.0,,-67.0,-53.0,-75.0,-70.0,-63.0,-62.0,-72.0,-65.0,-54.0,-65.0,-69.0,-71.0,-75.0,-65.0
4182,34,-76.0,-80.0,-76.0,-73.0,-73.0,-57.0,-61.0,-74.0,-56.0,-72.0,-63.0,-73.0,-67.0,-62.0,-52.0,-62.0,-65.0,-67.0,-59.0
4182,34,-68.0,-70.0,-60.0,-62.0,,-67.0,-53.0,-75.0,-70.0,-63.0,-62.0,-72.0,-65.0,-54.0,-65.0,-69.0,-71.0,-75.0,-65.0
4183,34,-66.0,-77.0,-79.0,-70.0,-77.0,-60.0,-52.0,-74.0,-62.0,-70.0,-64.0,-73.0,-70.0,-60.0,-57.0,-57.0,-66.0,-70.0,-70.0
4183,34,-68.0,-70.0,-60.0,-62.0,,-67.0,-53.0,-75.0,-70.0,-63.0,-62.0,-72.0,-65.0,-54.0,-65.0,-69.0,-71.0,-75.0,-65.0
4184,34,-66.0,-77.0,-79.0,-70.0,-77.0,-60.0,-52.0,-74.0,-62.0,-70.0,-64.0,-73.0,-70.0,-60.0,-57.0,-57.0,-66.0,-70.0,-70.0
4184,34,-68.0,-70.0,-60.0,-62.0,,-67.0,-53.0,-75.0,-70.0,-63.0,-62.0,-72.0,-65.0,-54.0,-65.0,-69.0,-71.0,-75.0,-65.0
4185,34,-68.0,-70.0,-60.0,-62.0,,-67.0,-53.0,-75.0,-70.0,-63.0,-62.0,-72.0,-65.0,-54.0,-65.0,-69.0,-71.0,-75.0,-65.0
4185,34,-74.0,-77.0,-74.0,-72.0,-72.0,-57.0,-65.0,-68.0,-65.0,-79.0,-63.0,-73.0,-71.0,-65.0,-58.0,-58.0,-66.0,-69.0,-70.0
4186,34,-68.0,-70.0,-60.0,-62.0,,-67.0,-53.0,-75.0,-70.0,-63.0,-62.0,-72.0,-65.0,-54.0,-65.0,-69.0,-71.0,-75.0,-65.0
4186,34,-74.0,-77.0,-74.0,-72.0,-72.0,-57.0,-65.0,-68.0,-65.0,-79.0,-63.0,-73.0,-71.0,-65.0,-58.0,-58.0,-66.0,-69.0,-70.0
4187,34,-68.0,-70.0,-60.0,-62.0,,-67.0,-53.0,-75.0,-70.0,-63.0,-62.0,-72.0,-65.0,-54.0,-65.0,-69.0,-71.0,-75.0,-65.0
4187,34,-72.0,-76.0,-74.0,-74.0,-74.0,-57.0,-59.0,-68.0,-73.0,-78.0,-64.0,-68.0,-71.0,-73.0,-54.0,-63.0,-69.0,-65.0,-70.0
4188,34,-72.0,-76.0,-74.0,-74.0,-74.0,-57.0,-59.0,-68.0,-73.0,-78.0,-64.0,-68.0,-71.0,-73.0,-54.0,-63.0,-69.0,-65.0,-70.0
4188,34,-68.0,-70.0,-60.0,-62.0,,-67.0,-53.0,-75.0,-70.0,-63.0,-62.0,-72.0,-65.0,-54.0,-65.0,-69.0,-71.0,-75.0,-65.0
4189,34,-72.0,-76.0,-74.0,-74.0,-74.0,-57.0,-59.0,-68.0,-73.0,-78.0,-64.0,-68.0,-71.0,-73.0,-54.0,-63.0,-69.0,-65.0,-70.0
4189,34,-63.0,-57.0,-59.0,-54.0,-70.0,-54.0,-62.0,,-62.0,-70.0,-54.0,-70.0,-67.0,-57.0,-66.0,-69.0,-73.0,-72.0,-67.0
4190,34,-72.0,-76.0,-79.0,-73.0,-74.0,-61.0,-63.0,-67.0,-74.0,-77.0,-61.0,-68.0,-72.0,-59.0,-54.0,-60.0,-64.0,-65.0,-65.0
4190,34,-63.0,-57.0,-59.0,-54.0,-70.0,-54.0,-62.0,,-62.0,-70.0,-54.0,-70.0,-67.0,-57.0,-66.0,-69.0,-73.0,-72.0,-67.0
4191,34,-63.0,-57.0,-59.0,-54.0,-70.0,-54.0,-62.0,,-62.0,-70.0,-54.0,-70.0,-67.0,-57.0,-66.0,-69.0,-73.0,-72.0,-67.0
4191,34,-72.0,-76.0,-79.0,-73.0,-74.0,-61.0,-63.0,-67.0,-74.0,-77.0,-61.0,-68.0,-72.0,-59.0,-54.0,-60.0,-64.0,-65.0,-65.0
4192,34,-68.0,-77.0,-79.0,-73.0,-75.0,-64.0,-64.0,-65.0,-72.0,-77.0,-60.0,-68.0,-72.0,-58.0,-55.0,-59.0,-69.0,-67.0,-69.0
4192,34,-63.0,-57.0,-59.0,-54.0,-70.0,-54.0,-62.0,,-62.0,-70.0,-54.0,-70.0,-67.0,-57.0,-66.0,-69.0,-73.0,-72.0,-67.0
4193,34,-68.0,-77.0,-79.0,-73.0,-75.0,-64.0,-64.0,-65.0,-72.0,-77.0,-60.0,-68.0,-72.0,-58.0,-55.0,-59.0,-69.0,-67.0,-69.0
4193,34,-63.0,-57.0,-59.0,-54.0,-70.0,-54.0,-62.0,,-62.0,-70.0,-54.0,-70.0,-67.0,-57.0,-66.0,-69.0,-73.0,-72.0,-67.0
4194,34,-75.0,-78.0,-83.0,-73.0,-71.0,-62.0,-60.0,-69.0,-70.0,-77.0,-60.0,-67.0,-70.0,-58.0,-53.0,-60.0,-70.0,-68.0,-69.0
4194,34,-63.0,-57.0,-59.0,-54.0,-70.0,-54.0,-62.0,,-62.0,-70.0,-54.0,-70.0,-67.0,-57.0,-66.0,-69.0,-73.0,-72.0,-67.0
4195,34,-63.0,-57.0,-59.0,-54.0,-70.0,-54.0,-62.0,,-62.0,-70.0,-54.0,-70.0,-67.0,-57.0,-66.0,-69.0,-73.0,-72.0,-67.0
4195,34,-75.0,-78.0,-83.0,-73.0,-71.0,-62.0,-60.0,-69.0,-70.0,-77.0,-60.0,-67.0,-70.0,-58.0,-53.0,-60.0,-70.0,-68.0,-69.0
4196,34,-75.0,-78.0,-83.0,-73.0,-71.0,-62.0,-60.0,-69.0,-70.0,-77.0,-60.0,-67.0,-70.0,-58.0,-53.0,-60.0,-70.0,-68.0,-69.0
4196,34,-63.0,-57.0,-59.0,-54.0,-70.0,-54.0,-62.0,,-62.0,-70.0,-54.0,-70.0,-67.0,-57.0,-66.0,-69.0,-73.0,-72.0,-67.0
4197,34,-75.0,-74.0,-75.0,-74.0,-77.0,-64.0,-62.0,-61.0,-64.0,-72.0,-65.0,-67.0,-70.0,-54.0,-60.0,-61.0,-58.0,-65.0,-65.0
4197,34,-63.0,-57.0,-59.0,-54.0,-70.0,-54.0,-62.0,,-62.0,-70.0,-54.0,-70.0,-67.0,-57.0,-66.0,-69.0,-73.0,-72.0,-67.0
4198,34,-75.0,-74.0,-75.0,-74.0,-77.0,-64.0,-62.0,-61.0,-64.0,-72.0,-65.0,-67.0,-70.0,-54.0,-60.0,-61.0,-58.0,-65.0,-65.0
4198,34,,-59.0,-59.0,-65.0,-73.0,-52.0,-61.0,-70.0,-65.0,-68.0,-55.0,-67.0,-67.0,-55.0,-67.0,-71.0,-72.0,-36.0,-64.0
4199,34,-70.0,-74.0,-72.0,-73.0,-76.0,-61.0,-58.0,-64.0,-64.0,-68.0,-65.0,-73.0,-67.0,-62.0,-56.0,-55.0,-62.0,-63.0,-68.0
4199,34,,-59.0,-59.0,-65.0,-73.0,-52.0,-61.0,-70.0,-65.0,-68.0,-55.0,-67.0,-67.0,-55.0,-67.0,-71.0,-72.0,-36.0,-64.0
4200,34,-70.0,-74.0,-73.0,-70.0,-76.0,-59.0,-62.0,-64.0,-64.0,-68.0,-64.0,-73.0,-68.0,-56.0,-57.0,-54.0,-62.0,-65.0,-68.0
4200,34,,-59.0,-59.0,-65.0,-73.0,-52.0,-61.0,-70.0,-65.0,-68.0,-55.0,-67.0,-67.0,-55.0,-67.0,-71.0,-72.0,-36.0,-64.0
4201,34,-70.0,-74.0,-73.0,-70.0,-76.0,-59.0,-62.0,-64.0,-64.0,-68.0,-64.0,-73.0,-68.0,-56.0,-57.0,-54.0,-62.0,-65.0,-68.0
4201,34,,-59.0,-59.0,-65.0,-73.0,-52.0,-61.0,-70.0,-65.0,-68.0,-55.0,-67.0,-67.0,-55.0,-67.0,-71.0,-72.0,-36.0,-64.0
4202,34,,-59.0,-59.0,-65.0,-73.0,-52.0,-61.0,-70.0,-65.0,-68.0,-55.0,-67.0,-67.0,-55.0,-67.0,-71.0,-72.0,-36.0,-64.0
4202,34,-71.0,-74.0,-72.0,-72.0,-75.0,-60.0,-60.0,-64.0,-65.0,-71.0,-63.0,-73.0,-71.0,-58.0,-59.0,-55.0,-63.0,-64.0,-69.0
4203,34,-71.0,-74.0,-72.0,-72.0,-75.0,-60.0,-60.0,-64.0,-65.0,-71.0,-63.0,-73.0,-71.0,-58.0,-59.0,-55.0,-63.0,-64.0,-69.0
4203,34,,-59.0,-59.0,-65.0,-73.0,-52.0,-61.0,-70.0,-65.0,-68.0,-55.0,-67.0,-67.0,-55.0,-67.0,-71.0,-72.0,-36.0,-64.0
4204,34,-71.0,-74.0,-72.0,-74.0,-75.0,-62.0,-62.0,-63.0,-64.0,-70.0,-69.0,-75.0,-67.0,-61.0,-54.0,-56.0,-59.0,-64.0,-69.0
4204,34,,-59.0,-59.0,-65.0,-73.0,-52.0,-61.0,-70.0,-65.0,-68.0,-55.0,-67.0,-67.0,-55.0,-67.0,-71.0,-72.0,-36.0,-64.0
4205,34,,-59.0,-59.0,-65.0,-73.0,-52.0,-61.0,-70.0,-65.0,-68.0,-55.0,-67.0,-67.0,-55.0,-67.0,-71.0,-72.0,-36.0,-64.0
4205,34,-71.0,-74.0,-72.0,-74.0,-75.0,-62.0,-62.0,-63.0,-64.0,-70.0,-69.0,-75.0,-67.0,-61.0,-54.0,-56.0,-59.0,-64.0,-69.0
4206,34,-71.0,-74.0,-72.0,-74.0,-75.0,-62.0,-62.0,-63.0,-64.0,-70.0,-69.0,-75.0,-67.0,-61.0,-54.0,-56.0,-59.0,-64.0,-69.0
4206,34,,-59.0,-59.0,-65.0,-73.0,-52.0,-61.0,-70.0,-65.0,-68.0,-55.0,-67.0,-67.0,-55.0,-67.0,-71.0,-72.0,-36.0,-64.0
4207,34,-66.0,-74.0,-72.0,-69.0,-76.0,-57.0,-59.0,-61.0,-66.0,-71.0,-69.0,-75.0,-67.0,-55.0,-58.0,-54.0,-64.0,-66.0,-69.0
4207,34,-71.0,-44.0,-57.0,-58.0,,-58.0,-45.0,-72.0,-68.0,-44.0,-61.0,,-64.0,-56.0,-65.0,-73.0,-67.0,-68.0,-43.0
4208,34,-66.0,-74.0,-72.0,-69.0,-76.0,-57.0,-59.0,-61.0,-66.0,-71.0,-69.0,-75.0,-67.0,-55.0,-58.0,-54.0,-64.0,-66.0,-69.0
4208,34,-71.0,-44.0,-57.0,-58.0,,-58.0,-45.0,-72.0,-68.0,-44.0,-61.0,,-64.0,-56.0,-65.0,-73.0,-67.0,-68.0,-43.0
4209,34,-71.0,-44.0,-57.0,-58.0,,-58.0,-45.0,-72.0,-68.0,-44.0,-61.0,,-64.0,-56.0,-65.0,-73.0,-67.0,-68.0,-43.0
4209,34,-69.0,-74.0,-72.0,-68.0,-76.0,-60.0,-60.0,-62.0,-65.0,-71.0,-63.0,-74.0,-72.0,-52.0,-59.0,-54.0,-62.0,-65.0,-67.0
4210,34,-71.0,-44.0,-57.0,-58.0,,-58.0,-45.0,-72.0,-68.0,-44.0,-61.0,,-64.0,-56.0,-65.0,-73.0,-67.0,-68.0,-43.0
4210,34,-69.0,-74.0,-72.0,-68.0,-76.0,-60.0,-60.0,-62.0,-65.0,-71.0,-63.0,-74.0,-72.0,-52.0,-59.0,-54.0,-62.0,-65.0,-67.0
4211,34,-69.0,-72.0,-72.0,-69.0,-75.0,-59.0,-64.0,-63.0,-67.0,-67.0,-62.0,-76.0,-68.0,-54.0,-58.0,-54.0,-63.0,-64.0,-66.0
4211,34,-71.0,-44.0,-57.0,-58.0,,-58.0,-45.0,-72.0,-68.0,-44.0,-61.0,,-64.0,-56.0,-65.0,-73.0,-67.0,-68.0,-43.0
4212,34,-69.0,-72.0,-72.0,-69.0,-75.0,-59.0,-64.0,-63.0,-67.0,-67.0,-62.0,-76.0,-68.0,-54.0,-58.0,-54.0,-63.0,-64.0,-66.0
4212,34,-71.0,-44.0,-57.0,-58.0,,-58.0,-45.0,-72.0,-68.0,-44.0,-61.0,,-64.0,-56.0,-65.0,-73.0,-67.0,-68.0,-43.0
4213,34,-75.0,-77.0,-75.0,-69.0,-79.0,-59.0,-63.0,-72.0,-67.0,-67.0,-68.0,-76.0,-68.0,-55.0,-53.0,-56.0,-63.0,-64.0,-71.0
